,Revenues_$M,Profits_$M,Assets_$M,Total Stockholder Equity_$M,company
356,"$34,870.00",$131.4,"$18,618.30","$3,245.60",Jiangxi Copper
357,"$34,673.00",$486.6,"$58,038.30","$9,743.00",CRRC Group
358,"$34,284.20","$2,069.90","$780,308.50","$44,572.80",Credit Suisse Group
359,"$34,242.20",$578.6,"$8,522.60","$2,326.00",Tsingshan Holding Group
360,"$34,229.20",$170.7,"$157,347.60","$10,799.10",State Power Investment
361,"$34,218.20","$12,043.90","$67,999.50","$54,022.30",Taiwan Semiconductor Manufacturing
362,"$34,176.50",$432.6,"$57,758.70","$5,089.20",China Energy Engineering Group
363,"$34,102.60",$501.5,"$21,455.90","$4,388.90",Quanta Computer
364,"$34,055.00",$334,"$26,830.00","$1,846.00",Plains GP Holdings
365,"$33,895.80",$268.1,"$48,455.20","$9,046.80",China South Industries Group
366,"$33,394.80",$613.6,"$51,585.30","$3,065.30",Yango Longking Group
367,"$33,391.60",$234,"$16,925.30","$4,771.30",Jinchuan Group
368,"$33,323.80","$1,755.20","$51,672.90","$20,585.10",China Electronics Technology Group
369,"$33,312.80","$9,138.80","$38,830.30","$13,162.20",Toshiba
370,"$33,252.60","$4,014.70","$647,708.50","$21,964.90",Prudential
371,"$33,186.30","$7,228.00","$720,354.40","$49,718.90",Commonwealth Bank of Australia
372,"$33,062.90","$2,641.70","$35,220.60","$23,504.50",Bridgestone
373,"$33,055.70",$350.3,"$40,323.20","$6,317.40",China Electronics
374,"$33,052.70",$639.5,"$17,531.20","$9,686.30",GS Caltex
375,"$32,857.40","$1,322.50","$108,595.40","$9,524.30",Sompo Holdings
376,"$32,825.00",$435.3,"$341,659.60","$7,608.90",Sumitomo Life Insurance
377,"$32,815.00","$2,138.00","$70,507.00","$36,162.00",Schlumberger
378,"$32,765.00","$5,349.00","$36,500.00","$9,796.00",3M
379,"$32,753.00","$5,687.00","$59,352.00","$-8,446.00",AbbVie
380,"$32,717.00","$3,962.00","$167,771.00","$50,312.00",Chubb
381,"$32,683.30",$775.9,"$16,381.20","$8,155.60",CHS
382,"$32,667.00","$8,045.40","$186,351.90","$83,336.40",British American Tobacco
383,"$32,619.40",$-254.5,"$49,469.60","$9,257.90",Ansteel Group
384,"$32,421.40",$464.4,"$118,796.50","$9,328.40",China Huadian
385,"$32,377.00","$6,015.00","$372,538.00","$51,668.00",Capital One Financial
386,"$32,369.00","$2,597.00","$229,806.00","$39,006.00",AIA Group
387,"$32,150.80",$572.5,"$25,942.20","$10,160.80",Mazda Motor
388,"$32,102.80",$295.7,"$13,007.40","$3,439.70",Compal Electronics
389,"$31,979.00","$2,615.30","$46,575.00","$10,821.80",Progressive
390,"$31,975.50",$972.5,"$592,911.80","$23,745.80",DZ Bank
391,"$31,949.40","$1,716.90","$38,604.60","$27,454.10",Hyundai Mobis
392,"$31,928.90","$1,137.60","$25,035.70","$9,682.40",CPC
393,"$31,856.00","$6,434.00","$83,216.00","$16,981.00",Coca-Cola
394,"$31,790.70","$4,597.20","$43,956.90","$30,779.20",L’Oréal
395,"$31,625.00","$2,970.50","$40,202.70","$18,321.10",CRH
396,"$31,589.30","$6,642.50","$760,409.00","$49,674.80",Bank of Nova Scotia
397,"$31,400.00","$2,162.00","$48,797.00","$21,164.00",Johnson Controls International
398,"$31,367.80","$2,291.90","$158,506.80","$31,179.40",USAA
399,"$31,292.20",$482.7,"$33,212.20","$2,118.00",Air France-KLM Group
400,"$31,103.80",$84.2,"$73,067.10","$17,612.40",Shougang Group
401,"$30,878.80","$1,512.70","$16,443.50","$3,409.40",Compass Group
402,"$30,852.00","$1,908.00","$55,493.00","$21,239.00",Hewlett Packard Enterprise
403,"$30,743.00","$2,833.10","$60,302.70","$13,245.60",BT Group
404,"$30,686.70","$4,042.30","$24,878.10","$16,811.40",Inditex
405,"$30,579.50",$518.4,"$42,968.60","$6,841.30",Veolia Environnement
406,"$30,578.00","$2,368.00","$67,173.00","$30,524.00",Abbott Laboratories
407,"$30,391.00","$14,135.00","$43,376.00","$32,294.00",Micron Technology
408,"$30,389.90","$1,539.10","$17,079.20","$9,513.20",PKN ORLEN Group
409,"$30,353.90","$2,754.50","$48,302.00","$23,753.80",Schneider Electric
410,"$30,296.00",$-174.5,"$9,599.50","$2,915.80",Phoenix Pharma
411,"$30,282.00","$2,523.00","$104,233.00","$22,894.00",Travelers Cos.
412,"$30,239.40","$3,961.30","$36,592.70","$13,301.90",Gree Electric Appliances
413,"$30,235.40",$483.7,"$20,665.70","$9,283.50",Coop Group
414,"$30,095.00","$3,229.00","$37,653.00","$8,187.00",Northrop Grumman
415,"$30,081.40","$2,540.90","$65,596.80","$32,223.90",Suncor Energy
416,"$30,070.60","$3,703.70","$549,407.60","$33,658.50",Manulife Financial
417,"$29,953.00","$3,104.00","$91,393.00","$50,720.00",Medtronic
418,"$29,832.50","$1,037.90","$65,576.60","$13,001.20",Kansai Electric Power
419,"$29,676.80",$716.2,"$17,784.40","$5,325.00",Arrow Electronics
420,"$29,625.00","$7,911.00","$39,801.00","$-12,459.00",Philip Morris International
421,"$29,592.30","$1,143.80","$23,570.70","$6,262.40",Koç Holding
422,"$29,509.50",$162.8,"$11,032.70","$2,243.10",Wistron
423,"$29,332.30","$4,593.70","$950,368.80","$63,825.80",UniCredit Group
424,"$29,305.80","$1,512.90","$259,413.50","$25,904.90",Samsung Life Insurance
425,"$29,159.60","$4,818.60","$58,854.20","$32,955.00",SAP
426,"$29,149.00",$941.8,"$298,904.80","$13,732.00",La Poste
427,"$29,124.00",$783,"$272,167.00","$22,134.00",Northwestern Mutual
428,"$29,123.00","$-3,330.40","$46,441.20","$12,513.60",Naturgy Energy Group
429,"$29,098.20",$511.3,"$67,587.80","$18,673.60",Migros Group
430,"$29,092.30","$2,772.20","$50,494.30","$18,681.20",Danone
431,"$29,027.90","$6,151.50","$636,296.90","$46,674.50",Westpac Banking
432,"$29,000.90","$2,782.50","$429,854.20","$32,001.40",KB Financial Group
433,"$28,803.20","$3,404.80","$32,042.90","$7,674.10",International Airlines Group
434,"$28,698.50",$309.9,"$14,619.20","$4,043.90",Medipal Holdings
435,"$28,662.90","$1,064.80","$27,588.90","$13,247.20",Sumitomo Electric Industries
436,"$28,654.90",$323.4,"$108,633.20","$13,515.50",China Datang
437,"$28,564.00",$137,"$38,415.20","$5,472.20",Xinjiang Guanghui Industry Investment
438,"$28,505.40","$1,333.10","$26,951.50","$14,703.70",Subaru
439,"$28,499.00","$1,628.90","$27,967.90","$6,170.00",Anhui Conch Group
440,"$28,492.80",$398.8,"$74,401.50","$2,403.20",Huaxia Life Insurance
441,"$28,457.10","$2,322.30","$84,234.70","$36,742.40",CFE
442,"$28,319.40","$1,556.90","$38,009.00","$17,878.10",Samsung C&T
443,"$28,167.10",$540.5,"$11,107.70","$4,093.10",Adecco Group
444,"$28,102.20",$830.8,"$11,359.10","$5,118.40",Randstad
445,"$28,088.80","$1,536.10","$60,579.50","$27,323.90",LafargeHolcim
446,"$27,713.60","$1,124.80","$24,280.10","$5,739.00",Haier Smart Home
447,"$27,622.70",$55.5,"$7,824.70",$505.3,INTL FCStone
448,"$27,610.00","$3,549.00","$52,196.00","$23,598.00",Anglo American
449,"$27,485.80",$434,"$96,189.10","$4,207.00",China Taiping Insurance Group
450,"$27,423.50",$624.1,"$76,913.40","$9,136.90",Mapfre Group
451,"$27,374.10",$716.3,"$54,102.50","$15,696.90",Chubu Electric Power
452,"$27,186.10",$128.3,"$8,005.40","$2,676.50",PBF Energy
453,"$27,183.40","$1,001.50","$207,944.90","$11,601.80",Cathay Life Insurance
454,"$27,172.70",$144.1,"$61,194.70","$4,359.40",Financière de l’Odet
455,"$27,147.90","$4,863.40","$681,894.20","$42,856.40",Australia & New Zealand Banking Group
456,"$27,076.10","$2,662.60","$75,537.00","$27,075.70",East Japan Railway
457,"$27,061.30","$1,789.10","$42,246.40","$13,607.40",OMV Group
458,"$27,058.00","$2,909.00","$31,864.00","$11,472.00",Raytheon
459,"$26,846.70",$-70.2,"$12,668.50","$1,221.50",TongLing Nonferrous Metals Group
460,"$26,840.50",$1.2,"$35,084.40","$4,240.00",Shanxi LuAn Mining Group
461,"$26,835.70",$250.9,"$28,439.10","$3,637.80",CJ Corp.
462,"$26,697.60",$-181.8,"$49,898.20","$6,393.90",Datong Coal Mine Group
463,"$26,692.80",$141.6,"$49,288.00","$5,802.80",Shanxi Coking Coal Group
464,"$26,628.10",$-401.3,"$45,167.90","$17,475.30",Nokia
465,"$26,608.10","$1,134.10","$47,955.70","$8,181.60",Heineken Holding
466,"$26,443.50","$2,049.10","$21,152.70","$10,388.30",Xiaomi
467,"$26,290.10",$-131.1,"$34,909.50","$3,761.40",Yangquan Coal Industry Group
468,"$26,277.00",$362.5,"$26,661.60","$7,767.10",NEC
469,"$26,276.50","$1,583.40","$251,010.50","$14,941.50",Fubon Financial Holding
470,"$26,268.00","$-10,192.00","$103,461.00","$51,657.00",Kraft Heinz
471,"$26,251.00",$237.6,"$8,036.40","$2,507.80",Hailiang Group
472,"$26,210.50",$93.4,"$13,499.40","$2,972.40",Flex
473,"$26,207.90",$103.6,"$20,671.30","$6,064.90",Xinxing Cathay International Group
474,"$26,147.70",$237.1,"$34,687.80","$10,114.90",Emirates Group
475,"$26,129.40",$-252.2,"$9,842.90",$796.7,Ceconomy
476,"$25,996.70","$1,979.10","$33,659.10","$13,881.70",Michelin
477,"$25,942.70","$4,220.60","$583,429.30","$38,123.90",National Australia Bank
478,"$25,938.00","$3,381.00","$62,729.00","$25,637.00",Mondelez International
479,"$25,920.00","$2,008.60","$17,844.50","$7,288.90",Adidas
480,"$25,844.70",$52.6,"$40,137.80","$6,321.40",Shanxi Jincheng Anthracite Coal Mining Group
481,"$25,823.30","$2,235.20","$674,869.50","$31,162.80",Rabobank Group
482,"$25,781.90",$-133.3,"$39,328.40","$2,494.90",Henan Energy & Chemical
483,"$25,779.10",$442.7,"$25,230.80","$5,785.90",China General Technology
484,"$25,775.00","$7,096.00","$467,374.00","$51,029.00",U.S. Bancorp
485,"$25,739.00","$1,108.00","$19,194.00","$6,436.00",Macy’s
486,"$25,679.00","$1,247.30","$29,270.30","$13,053.90",Fomento Económico Mexicano
487,"$25,625.00","$1,589.50","$13,204.00","$6,417.40",Dollar General
488,"$25,617.30","$1,338.50","$25,942.60","$15,311.50",LG Chem
489,"$25,606.00",$-663,"$45,417.00","$2,562.00",Onex
490,"$25,462.80","$1,993.40","$13,201.80","$10,988.40",Formosa Petrochemical
491,"$25,191.90","$1,514.20","$46,428.70","$13,664.60",Safran
492,"$25,180.10",$370.6,"$93,515.70","$11,083.70",Achmea
493,"$25,142.60",$184.8,"$4,163.80","$1,276.30",Rajesh Exports
494,"$25,067.30","$2,360.80","$17,920.60","$9,792.10",Nucor
495,"$25,002.70","$4,235.10","$589,481.40","$34,823.70",Bank of Montreal
496,"$24,931.70","$1,794.60","$117,398.30","$8,477.50",Taikang Insurance Group
497,"$24,816.00",$314.8,"$7,870.20","$2,438.00",Ultrapar Holdings
498,"$24,796.60","$2,494.20","$47,983.80","$20,326.10",Air Liquide
