,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
354,Koji Kakigi,Materials,Metals,Tokyo,https://www.jfe-holdings.co.jp,17,"62,083",JFE Holdings
355,Toshihiro Suzuki,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hamamatsu, Japan",https://www.globalsuzuki.com,25,"67,721",Suzuki Motor
356,Long Ziping,Materials,Metals,"Guixi, China",https://www.jxcc.com,7,"23,194",Jiangxi Copper
357,Sun Yongcai,Industrials,Industrial Machinery,Beijing,https://www.crrcgc.cc,1,"187,959",CRRC Group
358,Tidjane Thiam,Financials,Banks: Commercial and Savings,Zurich,https://www.credit-suisse.com,25,"45,680",Credit Suisse Group
359,Sun Jianfen,Materials,Metals,"Wenzhou, China",https://www.tssgroup.com.cn,1,"56,088",Tsingshan Holding Group
360,Qian Zhimin,Energy,Energy,Beijing,https://www.spic.com.cn,8,"124,678",State Power Investment
361,C.C. Wei,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",https://www.tsmc.com,5,"48,752",Taiwan Semiconductor Manufacturing
362,Wang Jianping,Engineering & Construction,"Engineering, Construction",Beijing,https://www.ceec.net.cn,6,"129,929",China Energy Engineering Group
363,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",https://www.quantatw.com,14,"112,421",Quanta Computer
364,Wilfred C.W. Chiang,Energy,Pipelines,Houston,https://www.plainsallamerican.com,5,"4,900",Plains GP Holdings
365,Gong Yande,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.csgc.com.cn,10,"198,932",China South Industries Group
366,Lin Tengjiao,Financials,Diversified Financials,"Fuzhou, China",https://www.yangholdings.com,3,"21,849",Yango Longking Group
367,Wang Yongqian,Materials,Metals,"Jinchang City, China",https://www.jnmc.com,1,"27,594",Jinchuan Group
368,Xiong Qun Li,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.cetc.com.cn,4,"179,636",China Electronics Technology Group
369,Nobuaki Kurumatani,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.toshiba.co.jp,24,"128,697",Toshiba
370,Michael A. Wells,Financials,"Insurance: Life, Health (stock)",London,https://www.prudential.co.uk,24,"23,792",Prudential
371,Matthew Comyn,Financials,Banks: Commercial and Savings,Sydney,https://www.commbank.com.au,15,"45,753",Commonwealth Bank of Australia
372,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.bridgestone.com,25,"143,509",Bridgestone
373,Rui Xiaowu,Technology,"Electronics, Electrical Equip.",Beijing,https://www.cec.com.cn,9,"135,297",China Electronics
374,Sae-Hong Huh,Energy,Petroleum Refining,Seoul,https://www.gscaltex.com,8,"3,212",GS Caltex
375,Kengo Sakurada,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.sompo-hd.com,23,"49,837",Sompo Holdings
376,Masahiro Hashimoto,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",https://www.sumitomolife.co.jp,25,"42,848",Sumitomo Life Insurance
377,Olivier Le Peuch,Energy,"Oil and Gas Equipment, Services",Houston,https://www.slb.com,19,"100,000",Schlumberger
378,Michael F. Roman,Industrials,Miscellaneous,"St. Paul, Minn.",https://www.3m.com,25,"93,516",3M
379,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, Ill.",https://www.abbvie.com,4,"30,000",AbbVie
380,Evan G. Greenberg,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.chubb.com,3,"32,700",Chubb
381,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",https://www.chsinc.com,12,"10,495",CHS
382,Jack Bowles,"Food, Beverages & Tobacco",Tobacco,London,https://www.bat.com,22,"63,877",British American Tobacco
383,Yao Lin,Materials,Metals,"Anshan, China",https://www.ansteel.cn,6,"136,319",Ansteel Group
384,Wen Shugang,Energy,Utilities,Beijing,https://www.chd.com.cn,8,"97,629",China Huadian
385,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, Va.",https://www.capitalone.com,9,"47,600",Capital One Financial
386,Ng Keng Hooi,Financials,"Insurance: Life, Health (stock)",Hong Kong,https://www.aia.com,5,"22,000",AIA Group
387,Akira Marumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,Hiroshima,https://www.mazda.com,25,"49,998",Mazda Motor
388,Martin Wong,Technology,"Computers, Office Equipment",Taipei,https://www.compal.com,8,"82,374",Compal Electronics
389,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",https://www.progressive.com,6,"37,346",Progressive
390,Cornelius Riese /Uwe Fr_hlich,Financials,Banks: Commercial and Savings,Frankfurt,https://www.dzbank.com,25,"28,682",DZ Bank
391,Chung-Kook Park,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.mobis.co.kr,8,"34,782",Hyundai Mobis
392,Shun-Chin Lee,Energy,Petroleum Refining,"Kaohsiung , Taiwan",https://www.cpc.com.tw,19,"15,712",CPC
393,James R. Quincey,"Food, Beverages & Tobacco",Beverages,Atlanta,https://www.coca-colacompany.com,25,"62,600",Coca-Cola
394,Jean-Paul Agon,Household Products,Household and Personal Products,"Clichy, France",https://www.loreal.com,25,"86,030",L’Oréal
395,Albert Manifold,Materials,"Building Materials, Glass",Dublin,https://www.crh.com,16,"89,831",CRH
396,Brian J. Porter,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.scotiabank.com,22,"97,629",Bank of Nova Scotia
397,George R. Oliver,Industrials,Industrial Machinery,"Cork, Ireland",https://www.johnsoncontrols.com,15,"122,000",Johnson Controls International
398,Wayne Peacock,Financials,Insurance: Property and Casualty (Stock),San Antonio,https://www.usaa.com,6,"33,689",USAA
399,Benjamin M. Smith,Transportation,Airlines,Paris,https://www.airfranceklm.com,23,"81,527",Air France-KLM Group
400,Zhang Gongyan,Materials,Metals,Beijing,https://www.shougang.com.cn,8,"108,086",Shougang Group
401,Dominic Blakemore,Business Services,Food Services,"Chertsey, Britain",https://www.compass-group.com,18,"595,841",Compass Group
402,Antonio Neri,Technology,"Computers, Office Equipment","Palo Alto, Calif.",https://www.hpe.com,3,"60,000",Hewlett Packard Enterprise
403,Philip Jansen,Telecommunications,Telecommunications,London,"https://www,btplc.com",25,"106,700",BT Group
404,Pablo Isla Álvarez de Tejera,Retailing,Specialty Retailers,"Arteixo, Spain",https://www.inditex.com,4,"174,386",Inditex
405,Antoine Frérot,Energy,Utilities,"Aubervilliers, France",https://www.veolia.com,17,"170,819",Veolia Environnement
406,Miles D. White,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",https://www.abbott.com,21,"103,000",Abbott Laboratories
407,Sanjay Mehrotra,Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",https://www.micron.com,1,"36,000",Micron Technology
408,Daniel Obajtek,Energy,Petroleum Refining,"Plock, Poland",https://www.orlen.pl,12,"21,282",PKN ORLEN Group
409,Jean-Pascal Tricoire,Industrials,"Electronics, Electrical Equip.","Rueil-Malmaison, France",https://www.schneider-electric.com,18,"137,534",Schneider Electric
410,Oliver Windholz,Health Care,Wholesalers: Health Care,"Mannheim, Germany",https://www.phoenixgroup.eu,9,"29,631",Phoenix Pharma
411,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),New York City,https://www.travelers.com,16,"30,400",Travelers Cos.
412,Dong Mingzhu,Industrials,"Electronics, Electrical Equip.","Zhuhai, China",https://www.gree.com,1,"88,800",Gree Electric Appliances
413,Joos Sutter,Food & Drug Stores,Food and Drug Stores,"Basel, Switzerland",https://www.coop.ch,10,"77,448",Coop Group
414,Kathy J. Warden,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",https://www.northropgrumman.com,20,"85,000",Northrop Grumman
415,Mark S. Little,Energy,Petroleum Refining,"Calgary, Alberta, Canada",https://www.suncor.com,10,"12,480",Suncor Energy
416,Roy Gori,Financials,"Insurance: Life, Health (stock)","Toronto, Ontario, Canada",https://www.manulife.com,17,"34,000",Manulife Financial
417,Omar S. Ishrak,Health Care,Medical Products and Equipment,Dublin,https://www.medtronic.com,3,"98,003",Medtronic
418,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",https://www.kepco.co.jp,25,"32,597",Kansai Electric Power
419,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",https://www.arrow.com,6,"20,100",Arrow Electronics
420,André Calantzopoulos,"Food, Beverages & Tobacco",Tobacco,New York City,https://www.pmi.com,11,"77,400",Philip Morris International
421,Levent Çakiroglu,Energy,Energy,Istanbul,https://www.koc.com.tr,18,"92,631",Koç Holding
422,Simon Lin,Technology,"Computers, Office Equipment",Taipei,https://www.wistron.com,4,"82,955",Wistron
423,Jean Pierre Mustier,Financials,Banks: Commercial and Savings,Milan,https://www.unicreditgroup.eu,24,"86,786",UniCredit Group
424,Sung-Chul Hyun,Financials,"Insurance: Life, Health (stock)",Seoul,https://www.samsunglife.com,23,"5,420",Samsung Life Insurance
425,William R. McDermott,Technology,Computer Software,"Walldorf, Germany",https://www.sap.com,4,"96,498",SAP
426,Philippe Wahl,Transportation,"Mail, Package, and Freight Delivery",Paris,https://www.groupelaposte.com,24,"233,076",La Poste
427,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,https://www.northwesternmutual.com,25,"5,870",Northwestern Mutual
428,Francisco Reynés Massanet,Energy,Utilities,Madrid,https://www.naturgy.com,11,"13,945",Naturgy Energy Group
429,Fabrice Zumbrunnen,Food & Drug Stores,Food and Drug Stores,Zurich,https://www.migros.ch,25,"79,913",Migros Group
430,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,Paris,https://www.danone.com,25,"105,783",Danone
431,Brian C. Hartzer,Financials,Banks: Commercial and Savings,Sydney,https://www.westpac.com.au,15,"35,029",Westpac Banking
432,Jong Kyoo Yoon,Financials,Banks: Commercial and Savings,Seoul,https://www.kbfg.com,7,"27,040",KB Financial Group
433,Willie Walsh,Transportation,Airlines,"Harmondsworth, Britain",https://www.iairgroup.com,22,"64,734",International Airlines Group
434,Shuichi Watanabe,Health Care,Wholesalers: Health Care,Tokyo,https://www.medipal.co.jp,17,"15,623",Medipal Holdings
435,Masayoshi Matsumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,"Osaka, Japan",https://www.global-sei.com,25,"272,796",Sumitomo Electric Industries
436,Chen Feihu,Energy,Energy,Beijing,https://www.china-cdt.com,10,"93,800",China Datang
437,Shang Jiqiang,Wholesalers,Trading,"Urumqi, China",https://www.guanghui.com,3,"82,175",Xinjiang Guanghui Industry Investment
438,Tomomi Nakamura,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.subaru.co.jp,17,"34,200",Subaru
439,Gao Dengbang,Materials,"Building Materials, Glass","Wuhu, China",https://www.chinaconch.com,1,"55,380",Anhui Conch Group
440,Zhao Ziliang,Financials,"Insurance: Life, Health (Mutual)",Beijing,https://www.hualife.cc,1,"500,000",Huaxia Life Insurance
441,Manuel Bartlett Díaz,Energy,Utilities,Mexico City,https://www.cfe.gob.mx,12,"91,369",CFE
442,Jung-Suk Koh /Young-Ho Lee,Wholesalers,Trading,Seoul,https://www.samsungcnt.com,3,"17,274",Samsung C&T
443,Alain Dehaze,Business Services,Diversified Outsourcing Services,Zurich,https://www.adeccogroup.com,21,"34,000",Adecco Group
444,Jacques van den Broek,Business Services,Diversified Outsourcing Services,"Diemen, Netherlands",https://www.randstad.com,7,"38,820",Randstad
445,Jan Jenisch,Materials,"Building Materials, Glass","Jona, Switzerland",https://www.lafargeholcim.com,11,"77,055",LafargeHolcim
446,Liang Haishan,Industrials,"Electronics, Electrical Equip.","Qingdao, China",https://www.haier.net/en,2,"87,447",Haier Smart Home
447,"""Sean M. O'Connor""",Financials,Diversified Financials,New York City,https://www.intlfcstone.com,9,"1,701",INTL FCStone
448,Mark Cutifani,Energy,"Mining, Crude-Oil Production",London,https://www.angloamerican.com,18,"64,000",Anglo American
449,Luo Xi,Financials,"Insurance: Life, Health (Mutual)",Hong Kong,https://www.cntaiping.com,2,"75,341",China Taiping Insurance Group
450,Antonio Huertas Mej?as,Financials,Insurance: Property and Casualty (Stock),Madrid,https://www.mapfre.com,12,"35,390",Mapfre Group
451,Satoru Katsuno,Energy,Utilities,"Nagoya, Japan",https://www.chuden.co.jp,25,"30,321",Chubu Electric Power
452,Thomas J. Nimbley,Energy,Petroleum Refining,"Parsippany, N.J.",https://www.pbfenergy.com,1,"3,266",PBF Energy
453,Ming-Ho Hsiung,Financials,"Insurance: Life, Health (stock)",Taipei,https://www.cathaylife.com.tw,18,"38,694",Cathay Life Insurance
454,Vincent Bolloré,Media,Entertainment,Paris,https://www.financiere-odet.com/fr-fr,1,"81,003",Financière de l’Odet
455,Shayne Elliott,Financials,Banks: Commercial and Savings,"Docklands, Australia",https://www.anz.com,16,"39,924",Australia & New Zealand Banking Group
456,Yuki Fukasawa,Transportation,Railroads,Tokyo,https://www.jreast.co.jp,25,"85,718",East Japan Railway
457,Rainer Seele,Energy,Petroleum Refining,Vienna,https://www.omv.com,12,"20,231",OMV Group
458,Thomas A. Kennedy,Aerospace & Defense,Aerospace and Defense,"Waltham, Mass.",https://www.raytheon.com,24,"67,000",Raytheon
459,Gong Huadong,Materials,Metals,"Tongling, China",https://www.tnmg.com.cn,1,"24,848",TongLing Nonferrous Metals Group
460,You Hao,Energy,"Mining, Crude-Oil Production","Changzhi, China",https://www.chinaluan.com,7,"100,637",Shanxi LuAn Mining Group
461,Kyung-Shik Sohn /Keun-Hee Park,Retailing,Specialty Retailers,Seoul,https://www.cj.net,2,"64,832",CJ Corp.
462,Guo Jingang,Energy,"Mining, Crude-Oil Production","Datong, China",https://www.dtcoalmine.com,7,"156,268",Datong Coal Mine Group
463,Wang Maosheng,Energy,"Mining, Crude-Oil Production","Taiyuan, China",https://www.sxcc.com.cn,6,"199,872",Shanxi Coking Coal Group
464,Rajeev Suri,Technology,Network and Other Communications Equipment,"Espoo, Finland",https://www.nokia.com,21,"103,083",Nokia
465,Jean-François van Boxmeer,"Food, Beverages & Tobacco",Beverages,Amsterdam,https://www.theheinekencompany.com,13,"85,610",Heineken Holding
466,Lei Jun,Technology,Internet Services and Retailing,Beijing,https://www.mi.com,1,"16,683",Xiaomi
467,Zhai Hong,Energy,"Mining, Crude-Oil Production","Yangquan, China",https://www.ymjt.com.cn%20,7,"129,150",Yangquan Coal Industry Group
468,Takashi Niino,Technology,Information Technology Services,Tokyo,https://www.nec.com,25,"110,595",NEC
469,Richard M. Tsai,Financials,"Insurance: Life, Health (stock)",Taipei,https://www.fubon.com,2,"45,174",Fubon Financial Holding
470,Miguel Patricio,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,https://www.kraftheinzcompany.com,5,"38,000",Kraft Heinz
471,Cao Jianguo,Wholesalers,Trading,"Hangzhou, China",https://www.hailiang.com,1,"19,510",Hailiang Group
472,Revathi Advaithi,Technology,Semiconductors and Other Electronic Components,Singapore,https://www.flex.com,19,"200,000",Flex
473,Zhang Yalin,Materials,Metals,Beijing,https://www.xxcig.com,8,"52,024",Xinxing Cathay International Group
474,Sheikh Ahmed bin Saeed Al Maktoum,Transportation,Airlines,Dubai,https://www.theemiratesgroup.com,4,"60,282",Emirates Group
475,Jörn H. Werner,Retailing,Specialty Retailers,"Düsseldorf, Germany",https://www.ceconomy.de,24,"53,954",Ceconomy
476,Florent Menrgaux,Motor Vehicles & Parts,Motor Vehicles and Parts,"Clermont-Ferrand, France",https://www.michelin.com,25,"111,117",Michelin
477,Philip W. Chronican,Financials,Banks: Commercial and Savings,"Docklands, Australia",https://www.nab.com.au,24,"33,283",National Australia Bank
478,Dirk Van de Put,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, Ill.",https://www.mondelezinternational.com,12,"80,000",Mondelez International
479,Kasper Rorsted,Apparel,Apparel,"Herzogenaurach, Germany",https://www.adidas-group.com,2,"57,016",Adidas
480,Li Hongshuang,Energy,"Mining, Crude-Oil Production","Jincheng, China",https://www.jamg.cn,7,"128,795",Shanxi Jincheng Anthracite Coal Mining Group
481,Wiebe Draijer,Financials,Banks: Commercial and Savings,"Utrecht, Netherlands",https://www.rabobank.com,25,"41,861",Rabobank Group
482,Liu Yinzhi,Energy,"Mining, Crude-Oil Production","Zhengzhou, China",https://www.hnecgc.com.cn,7,"171,334",Henan Energy & Chemical
483,Xu Xianping,Engineering & Construction,"Engineering, Construction",Beijing,https://www.genertec.com.cn,5,"34,752",China General Technology
484,Andrew J. Cecere,Financials,Banks: Commercial and Savings,Minneapolis,https://www.usbank.com,14,"75,772",U.S. Bancorp
485,Jeffrey Gennette,Retailing,General Merchandisers,Cincinnati,https://www.macysinc.com,25,"130,000",Macy’s
486,Miguel Eduardo Padilla Silva,"Food, Beverages & Tobacco",Beverages,"Monterrey, Mexico",https://www.femsa.com,2,"297,073",Fomento Económico Mexicano
487,Todd J. Vasos,Retailing,Specialty Retailers,"Goodlettsville, Tennessee",https://www.dollargeneral.com,2,"135,000",Dollar General
488,H.C. Shin,Chemicals,Chemicals,Seoul,https://www.lgchem.co.kr,1,"33,694",LG Chem
489,Gerald W. Schwartz,Financials,Diversified Financials,"Toronto, Ontario, Canada",https://www.onex.com,20,"217,000",Onex
490,Bao Lang Chen,Energy,Petroleum Refining,"Mailiao, Taiwan",https://www.fpcc.com.tw,10,"5,285",Formosa Petrochemical
491,Philippe Petitcolin,Aerospace & Defense,Aerospace and Defense,Paris,https://www.safran-group.com,1,"92,639",Safran
492,Willem A.J. van Duin,Financials,"Insurance: Life, Health (Mutual)","Zeist, Netherlands",https://www.achmea.com,6,"13,714",Achmea
493,Rajesh J. Mehta,Wholesalers,Trading,"Bengaluru, India",https://www.rajeshindia.com,4,383,Rajesh Exports
494,Leon J. Topalian,Materials,Metals,"Charlotte, N.C.",https://www.nucor.com,2,"26,300",Nucor
495,Darryl White,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.bmo.com,10,"45,454",Bank of Montreal
496,Chen Dongsheng,Financials,"Insurance: Life, Health (Mutual)",Beijing,https://www.taikang.com,2,"57,406",Taikang Insurance Group
497,Frederico Pinheiro Fleury Curado,Energy,Pipelines,São Paulo,https://www.ultra.com.br,10,"17,034",Ultrapar Holdings
498,Benoît Potier,Chemicals,Chemicals,Paris,https://www.airliquide.com,2,"66,000",Air Liquide
