,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
1,"$485,873","$13,643","$198,825","$77,798",2.8%,6.9%,17.5%,Walmart,2017
2,"$315,199","$9,571.3","$489,838","$209,456",3%,2%,4.6%,State Grid,2017
3,"$267,518","$1,257.9","$310,726","$106,523",0.5%,0.4%,1.2%,Sinopec Group,2017
4,"$262,573","$1,867.5","$585,619","$301,893",0.7%,0.3%,0.6%,China National Petroleum,2017
5,"$254,694","$16,899.3","$437,575","$157,210",6.6%,3.9%,10.7%,Toyota Motor,2017
6,"$240,264","$5,937.3","$432,116","$97,753",2.5%,1.4%,6.1%,Volkswagen,2017
7,"$240,033","$4,575","$411,275","$186,646",1.9%,1.1%,2.5%,Royal Dutch Shell,2017
8,"$223,604","$24,074","$620,854","$283,001",10.8%,3.9%,8.5%,Berkshire Hathaway,2017
9,"$215,639","$45,687","$321,686","$128,249",21.2%,14.2%,35.6%,Apple,2017
10,"$205,004","$7,840","$330,314","$167,325",3.8%,2.4%,4.7%,Exxon Mobil,2017
11,"$198,533","$5,070","$60,969","$11,095",2.6%,8.3%,45.7%,McKesson,2017
12,"$186,606",$115,"$263,316","$95,286",0.1%,-,0.1%,BP,2017
13,"$184,840","$7,017","$122,810","$38,274",3.8%,5.7%,18.3%,UnitedHealth Group,2017
14,"$177,526","$5,317","$94,462","$36,830",3%,5.6%,14.4%,CVS Health,2017
15,"$173,957","$19,316.5","$217,104","$154,376",11.1%,8.9%,12.5%,Samsung Electronics,2017
16,"$173,883","$1,379","$124,600","$44,243",0.8%,1.1%,3.1%,Glencore,2017
17,"$169,483","$9,428.4","$256,262","$61,116",5.6%,3.7%,15.4%,Daimler,2017
18,"$166,380","$9,427","$221,690","$43,836",5.7%,4.3%,21.5%,General Motors,2017
19,"$163,786","$12,976","$403,821","$123,135",7.9%,3.2%,10.5%,AT&T,2017
20,"$154,894",$651.3,"$186,172","$11,582",0.4%,0.3%,5.6%,EXOR Group,2017
21,"$151,800","$4,596","$237,951","$29,170",3%,1.9%,15.8%,Ford Motor,2017
22,"$147,675","$41,883.9","$3,473,238","$283,438",28.4%,1.2%,14.8%,Industrial & Commercial Bank of China,2017
23,"$146,850","$1,427.9","$33,656","$2,129",1%,4.2%,67.1%,AmerisourceBergen,2017
24,"$144,505","$2,492.9","$201,269","$15,344",1.7%,1.2%,16.2%,China State Construction Engineering,2017
25,"$143,722","$6,446","$941,556","$74,454",4.5%,0.7%,8.7%,AXA,2017
26,"$135,987","$2,371","$83,402","$19,285",1.7%,2.8%,12.3%,Amazon.com,2017
27,"$135,129","$4,608.8","$80,436","$33,476",3.4%,5.7%,13.8%,Hon Hai Precision Industry,2017
28,"$135,093","$34,840.9","$3,016,578","$226,851",25.8%,1.2%,15.4%,China Construction Bank,2017
29,"$129,198","$5,690.3","$170,165","$65,482",4.4%,3.3%,8.7%,Honda Motor,2017
30,"$127,925","$6,196","$230,978","$98,680",4.8%,2.7%,6.3%,Total,2017
31,"$126,661","$8,831","$365,183","$75,828",7%,2.4%,11.6%,General Electric,2017
32,"$125,980","$13,127","$244,180","$22,524",10.4%,5.4%,58.3%,Verizon,2017
33,"$122,990",$-267.4,"$2,631,385","$91,532",-0.2%,-,-0.3%,Japan Post Holdings,2017
34,"$122,196","$7,611.5","$932,091","$71,020",6.2%,0.8%,10.7%,Allianz,2017
35,"$121,546","$1,427","$34,122","$6,554",1.2%,4.2%,21.8%,Cardinal Health,2017
36,"$118,719","$2,350","$33,163","$12,079",2%,7.1%,19.5%,Costco,2017
37,"$117,351","$4,173","$72,688","$29,880",3.6%,5.7%,14%,Walgreens Boots Alliance,2017
38,"$117,275","$27,687.8","$2,816,039","$189,682",23.6%,1%,14.6%,Agricultural Bank of China,2017
39,"$116,581","$9,392","$802,490","$55,177",8.1%,1.2%,17%,Ping An Insurance,2017
40,"$115,337","$1,975","$36,505","$6,698",1.7%,5.4%,29.5%,Kroger,2017
41,"$113,861","$4,818.2","$84,989","$27,617",4.2%,5.7%,17.4%,SAIC Motor,2017
42,"$113,708","$24,773.4","$2,611,539","$203,134",21.8%,0.9%,12.2%,Bank of China,2017
43,"$109,026","$8,517.2","$2,190,423","$106,164",7.8%,0.4%,8%,BNP Paribas,2017
44,"$108,164","$6,123.4","$165,344","$50,550",5.7%,3.7%,12.1%,Nissan Motor,2017
45,"$107,567",$-497,"$260,078","$145,556",-0.5%,-0.2%,-0.3%,Chevron,2017
46,"$107,162","$12,313","$3,287,968","$6,071",11.5%,0.4%,202.8%,Fannie Mae,2017
47,"$107,117","$9,614.3","$246,446","$130,459",9%,3.9%,7.4%,China Mobile Communications,2017
48,"$105,486","$24,733","$2,490,972","$254,190",23.4%,1%,9.7%,J.P. Morgan Chase,2017
49,"$105,235","$1,697.9","$577,954","$8,579",1.6%,0.3%,19.8%,Legal & General Group,2017
50,"$105,128","$7,384.4","$190,740","$81,254",7%,3.9%,9.1%,Nippon Telegraph & Telephone,2017
51,"$104,818",$162.4,"$483,026","$14,079",0.2%,-,1.2%,China Life Insurance,2017
52,"$104,130","$7,589.4","$198,835","$49,682",7.3%,3.8%,15.3%,BMW Group,2017
53,"$100,288","$3,404.4","$51,745","$16,236",3.4%,6.6%,21%,Express Scripts Holding,2017
54,"$98,098",$750.8,"$41,230","$5,548",0.8%,1.8%,13.5%,Trafigura Group,2017
55,"$96,979",$924.1,"$108,864","$10,806",1%,0.8%,8.6%,China Railway Engineering,2017
56,"$96,965","$2,592.8","$581,221","$18,117",2.7%,0.4%,14.3%,Prudential,2017
57,"$95,217","$2,301.3","$549,656","$25,886",2.4%,0.4%,8.9%,Assicurazioni Generali,2017
58,"$94,877","$1,192.4","$109,968","$10,146",1.3%,1.1%,11.8%,China Railway Construction,2017
59,"$94,595","$7,957","$42,966","$4,333",8.4%,18.5%,183.6%,Home Depot,2017
60,"$94,571","$4,895","$89,997",$817,5.2%,5.4%,599.1%,Boeing,2017
61,"$94,176","$21,938","$1,930,115","$199,581",23.3%,1.1%,11%,Wells Fargo,2017
62,"$93,662","$17,906","$2,187,702","$266,840",19.1%,0.8%,6.7%,Bank of America Corp.,2017
63,"$91,382","$14,222.6","$277,262","$181,813",15.6%,5.1%,7.8%,Gazprom,2017
64,"$90,814","$8,659.2","$129,824","$63,573",9.5%,6.7%,13.6%,Nestle,2017
65,"$90,272","$19,478","$167,497","$139,036",21.6%,11.6%,14%,Alphabet,2017
66,"$88,419","$6,050.5","$141,271","$38,444",6.8%,4.3%,15.7%,Siemens,2017
67,"$87,112",$825,"$51,513","$10,996",0.9%,1.6%,7.5%,Carrefour,2017
68,"$86,194","$1,415","$59,532","$11,464",1.6%,2.4%,12.3%,Dongfeng Motor,2017
69,"$85,320","$16,798","$193,694","$71,997",19.7%,8.7%,23.3%,Microsoft,2017
70,"$84,863","$2,469.8","$65,083","$25,100",2.9%,3.8%,9.8%,Anthem,2017
71,"$84,558","$2,134.3","$86,742","$26,632",2.5%,2.5%,8%,Hitachi,2017
72,"$82,892","$13,163.4","$221,113","$32,191",15.9%,6%,40.9%,SoftBank Group,2017
73,"$82,801","$6,860.7","$1,412,281","$95,906",8.3%,0.5%,7.2%,Banco Santander,2017
74,"$82,386","$14,912","$1,792,077","$225,120",18.1%,0.8%,6.6%,Citigroup,2017
75,"$81,405","$-4,838","$246,983","$76,779",-5.9%,-2%,-6.3%,Petrobras,2017
76,"$80,869","$2,155.3","$86,348","$36,316",2.7%,2.5%,5.9%,Robert Bosch,2017
77,"$80,832","$2,958.1","$156,597","$30,906",3.7%,1.9%,9.6%,Deutsche Telekom,2017
78,"$80,701","$4,659","$148,092","$55,639",5.8%,3.1%,8.4%,Hyundai Motor,2017
79,"$80,403","$8,695","$180,500","$53,943",10.8%,4.8%,16.1%,Comcast,2017
80,"$80,258","$3,914.7","$1,607,501","$61,460",4.9%,0.2%,6.4%,Credit Agricole,2017
81,"$79,919","$11,872","$117,470","$18,246",14.9%,10.1%,65.1%,IBM,2017
82,"$78,740","$3,152.8","$297,026","$36,319",4%,1.1%,8.7%,Electricite de France,2017
83,"$78,511","$5,579.4","$63,837","$20,159",7.1%,8.7%,27.7%,Huawei Investment & Holding,2017
84,"$78,064","$2,842","$164,096","$36,704",3.6%,1.7%,7.7%,Enel,2017
85,"$76,132",$350.3,"$256,030","$87,592",0.5%,0.1%,0.4%,State Farm Insurance Cos.,2017
86,"$75,776","$2,580.2","$158,291","$23,605",3.4%,1.6%,10.9%,China Resources National,2017
87,"$75,772",$103.9,"$78,223","$9,567",0.1%,0.1%,1.1%,AEON,2017
88,"$75,329","$2,479","$2,374,986","$175,386",3.3%,0.1%,1.4%,HSBC Holdings,2017
89,"$74,629","$3,168.1","$48,196","$19,835",4.2%,6.6%,16%,Pacific Construction Group,2017
90,"$74,628",$948.8,"$544,063","$21,004",1.3%,0.2%,4.5%,Aviva,2017
91,"$74,407","$-3,557.5","$51,541","$12,889",-4.8%,-6.9%,-27.6%,Uniper,2017
92,"$74,393",$-52.7,"$57,052","$8,011",-0.1%,-0.1%,-0.7%,Tesco,2017
93,"$73,692",$-458.9,"$167,158","$41,740",-0.6%,-0.3%,-1.1%,Engie,2017
94,"$73,628","$1,100.3","$117,204","$3,857",1.5%,0.9%,28.5%,Airbus Group,2017
95,"$72,579",$659.7,"$85,332","$10,858",0.9%,0.8%,6.1%,SK Holdings,2017
96,"$72,396","$1,555","$51,653","$22,390",2.1%,3%,6.9%,Phillips 66,2017
97,"$71,890","$16,540","$141,208","$70,418",23%,11.7%,23.5%,Johnson & Johnson,2017
98,"$71,726","$10,508","$127,136","$57,341",14.7%,8.3%,18.3%,Procter & Gamble,2017
99,"$71,498","$-5,591","$25,219","$-55,982",-7.8%,-22.2%,-,U.S. Postal Service,2017
100,"$71,242","$2,329.8","$99,187","$38,384",3.3%,2.3%,6.1%,China Southern Power Grid,2017
101,"$71,151",$580.3,"$51,857","$7,508",0.8%,1.1%,7.7%,China South Industries Group,2017
102,"$70,897","$3,090.6","$82,179","$52,783",4.4%,3.8%,5.9%,Lukoil,2017
103,"$70,751","$1,431.3","$146,763","$14,824",2%,1%,9.7%,China Communications Construction,2017
104,"$70,517","$4,410.1","$1,302,721","$64,820",6.3%,0.3%,6.8%,Groupe BPCE,2017
105,"$70,170",$676.4,"$158,519","$22,415",1%,0.4%,3%,Sony,2017
106,"$70,166","$2,289","$46,173","$20,024",3.3%,5%,11.4%,Valero Energy,2017
107,"$69,495","$2,737","$37,431","$10,953",3.9%,7.3%,25%,Target,2017
108,"$69,335","$4,284","$1,457,753","$65,338",6.2%,0.3%,6.6%,Societe Generale,2017
109,"$68,700","$2,853.1","$282,435","$33,238",4.2%,1%,8.6%,Munich Re Group,2017
110,"$67,775","$1,378.4","$53,702","$14,109",2%,2.6%,9.8%,Panasonic,2017
111,"$67,388","$2,786.9","$650,429","$17,261",4.1%,0.4%,16.1%,Nippon Life Insurance,2017
112,"$67,245","$3,211","$382,679","$30,660",4.8%,0.8%,10.5%,Zurich Insurance Group,2017
113,"$66,876","$6,666.4","$415,972","$37,680",10%,1.6%,17.7%,Itau Unibanco Holding,2017
114,"$66,732","$2,144.3","$134,132","$18,145",3.2%,1.6%,11.8%,People’s Insurance Co. of China,2017
115,"$65,892","$1,752.4","$166,595","$70,827",2.7%,1.1%,2.5%,China National Offshore Oil,2017
116,"$65,792","$1,433.7","$61,904","$15,113",2.2%,2.3%,9.5%,Marubeni,2017
117,"$65,787","$2,918.3","$40,387","$11,693",4.4%,7.2%,25%,Deutsche Post DHL Group,2017
118,"$65,665","$7,815","$2,023,376","$5,075",11.9%,0.4%,154%,Freddie Mac,2017
119,"$65,605","$4,980.3","$1,221,649","$43,114",7.6%,0.4%,11.6%,China Post Group,2017
120,"$65,547",$-446.7,"$109,334","$4,631",-0.7%,-0.4%,-9.6%,China Minmetals,2017
121,"$65,208","$2,784.4","$1,010,245","$59,327",4.3%,0.3%,4.7%,Lloyds Banking Group,2017
122,"$65,017","$3,093","$34,408","$6,434",4.8%,9%,48.1%,Lowe’s,2017
123,"$64,853",$665,"$28,039","$5,978",1%,2.4%,11.1%,Metro,2017
124,"$64,806","$-1,672","$118,206","$13,243",-2.6%,-1.4%,-12.6%,Dell Technologies,2017
125,"$64,784","$2,411.3","$54,772","$24,489",3.7%,4.4%,9.8%,China FAW Group,2017
126,"$63,641","$4,485.3","$80,675","$33,545",7%,5.6%,13.4%,BASF,2017
