,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
1,"$482,130","$14,694","$199,581","$80,546",3%,7.4%,18.2%,Walmart,2016
2,"$329,601","$10,201","$478,539","$207,345",3.1%,2.1%,4.9%,State Grid,2016
3,"$299,271","$7,091","$621,242","$320,222",2.4%,1.1%,2.2%,China National Petroleum,2016
4,"$294,344","$3,595","$317,006","$112,455",1.2%,1.1%,3.2%,Sinopec Group,2016
5,"$272,156","$1,939","$340,157","$162,876",0.7%,0.6%,1.2%,Royal Dutch Shell,2016
6,"$246,204","$16,150","$336,758","$170,811",6.6%,4.8%,9.5%,Exxon Mobil,2016
7,"$236,600","$-1,520","$414,858","$95,651",-0.6%,-0.4%,-1.6%,Volkswagen,2016
8,"$236,592","$19,264","$422,029","$149,021",8.1%,4.6%,12.9%,Toyota Motor,2016
9,"$233,715","$53,394","$290,479","$119,355",22.8%,18.4%,44.7%,Apple,2016
10,"$225,982","$-6,482","$261,832","$97,216",-2.9%,-2.5%,-6.7%,BP,2016
11,"$210,821","$24,083","$552,257","$255,550",11.4%,4.4%,9.4%,Berkshire Hathaway,2016
12,"$192,487","$2,258","$56,563","$8,924",1.2%,4%,25.3%,McKesson,2016
13,"$177,440","$16,532","$206,585","$147,468",9.3%,8%,11.2%,Samsung Electronics,2016
14,"$170,497","$-4,964","$128,485","$41,254",-2.9%,-3.9%,-12%,Glencore,2016
15,"$167,227","$44,098","$3,420,257","$275,575",26.4%,1.3%,16%,Industrial & Commercial Bank of China,2016
16,"$165,800","$9,345","$235,886","$58,178",5.6%,4%,16.1%,Daimler,2016
17,"$157,107","$5,813","$111,383","$33,830",3.7%,5.2%,17.2%,UnitedHealth Group,2016
18,"$153,290","$5,237","$93,657","$37,196",3.4%,5.6%,14.1%,CVS Health,2016
19,"$152,591",$825,"$170,419","$11,012",0.5%,0.5%,7.5%,EXOR Group,2016
20,"$152,356","$9,687","$194,520","$39,871",6.4%,5%,24.3%,General Motors,2016
21,"$149,558","$7,373","$224,925","$28,642",4.9%,3.3%,25.7%,Ford Motor,2016
22,"$147,910","$36,303","$2,825,781","$220,836",24.5%,1.3%,16.4%,China Construction Bank,2016
23,"$146,801","$13,345","$402,672","$122,671",9.1%,3.3%,10.9%,AT&T,2016
24,"$143,421","$5,087","$224,484","$92,494",3.5%,2.3%,5.5%,Total,2016
25,"$141,213","$4,627","$70,287","$30,682",3.3%,6.6%,15.1%,Hon Hai Precision Industry,2016
26,"$140,389","$-6,126","$492,692","$98,274",-4.4%,-1.2%,-6.2%,General Electric,2016
27,"$140,159","$2,251","$166,279","$14,063",1.6%,1.4%,16%,China State Construction Engineering,2016
28,"$135,962",$-135,"$27,736",$634,-0.1%,-0.5%,-21.3%,AmerisourceBergen,2016
29,"$133,419","$28,735","$2,739,835","$186,351",21.5%,1%,15.4%,Agricultural Bank of China,2016
30,"$131,620","$17,879","$244,640","$16,428",13.6%,7.3%,108.8%,Verizon,2016
31,"$131,118","$4,587","$266,103","$152,716",3.5%,1.7%,3%,Chevron,2016
32,"$129,277","$-7,764","$123,493","$17,845",-6%,-6.3%,-43.5%,E.ON,2016
33,"$129,250","$6,231","$963,535","$74,378",4.8%,0.6%,8.4%,AXA,2016
34,"$122,948","$7,339","$922,121","$68,587",6%,0.8%,10.7%,Allianz,2016
35,"$122,337","$27,186","$2,589,565","$200,959",22.2%,1%,13.5%,Bank of China,2016
36,"$121,624","$2,870","$162,211","$60,166",2.4%,1.8%,4.8%,Honda Motor,2016
37,"$118,762","$3,548","$2,597,856","$92,809",3%,0.1%,3.8%,Japan Post Holdings,2016
38,"$116,199","$2,377","$33,440","$10,617",2%,7.1%,22.4%,Costco,2016
39,"$111,531","$7,426","$2,166,092","$104,567",6.7%,0.3%,7.1%,BNP Paribas,2016
40,"$110,359","$10,954","$3,221,917","$4,030",9.9%,0.3%,271.8%,Fannie Mae,2016
41,"$110,308","$8,625","$733,824","$51,474",7.8%,1.2%,16.8%,Ping An Insurance,2016
42,"$109,830","$2,039","$33,897","$6,820",1.9%,6%,29.9%,Kroger,2016
43,"$107,736","$4,438","$1,449,415","$64,126",4.1%,0.3%,6.9%,Société Générale,2016
44,"$107,006",$596,"$65,444","$13,384",0.6%,0.9%,4.5%,Amazon.com,2016
45,"$106,761","$10,144","$251,113","$134,371",9.5%,4%,7.5%,China Mobile Communications,2016
46,"$106,684","$4,741","$78,790","$26,969",4.4%,6%,17.6%,SAIC Motor,2016
47,"$103,444","$4,220","$68,782","$30,861",4.1%,6.1%,13.7%,Walgreens Boots Alliance,2016
48,"$103,355","$4,554","$106,882","$27,768",4.4%,4.3%,16.4%,HP,2016
49,"$102,567","$2,252","$543,696","$25,596",2.2%,0.4%,8.8%,Assicurazioni Generali,2016
50,"$102,531","$1,215","$30,142","$6,256",1.2%,4%,19.4%,Cardinal Health,2016
51,"$102,248","$7,065","$187,015","$46,196",6.9%,3.8%,15.3%,BMW,2016
52,"$101,752","$2,476","$53,243","$17,373",2.4%,4.7%,14.3%,Express Scripts Holding,2016
53,"$101,536","$4,364","$154,597","$48,172",4.3%,2.8%,9.1%,Nissan Motor,2016
54,"$101,274","$4,170","$466,302","$19,462",4.1%,0.9%,21.4%,China Life Insurance,2016
55,"$101,006","$24,442","$2,351,698","$247,573",24.2%,1%,9.9%,J.P. Morgan Chase,2016
56,"$99,464","$12,882","$233,958","$145,292",13%,5.5%,8.9%,Gazprom,2016
